what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483266170
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380483277395
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380483281547
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380483300682
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483308750
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483315726
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483320701
started,bundle,org.eclipse.pde.core,3.7.0.v20110603,"org.eclipse.pde.core",1380483324692
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483325255
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.200.v20110510,"org.eclipse.equinox.p2.garbagecollector",1380483325298
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483328121
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1380483328765
opened,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380483341889
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380483341986
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1380483342059
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1380483342082
